application_id,merchant_id,application_date,requested_amount,loan_purpose,application_status,credit_score,processing_time
c2b20860-a97d-43c3-97d7-473483878535,60a0c25f-5c88-47d0-9671-64f27704d360,2025-09-30,153380.41,PAYROLL,APPROVED,407,2025-10-08 02:55:00
8f369151-9b85-4f09-9599-a460296cbdbe,2f5a56ec-ef1c-49d3-95a8-bb0b8551a8fd,2025-10-06,13538.30,WORKING_CAPITAL,APPROVED,761,2025-10-08 02:29:00
8f369151-9b85-4f09-9599-a460296cbdbe,2f5a56ec-ef1c-49d3-95a8-bb0b8551a8fd,2025-10-06,13538.30,WORKING_CAPITAL,APPROVED,761,2025-10-08 02:29:00
f0aa0adf-942a-455f-9f7a-9d4777cc6d14,98ac8061-ff08-491e-9c1d-cd63b7212e1b,2025-10-08,18866.29,PAYROLL,APPROVED,578,2025-10-08 02:06:00
8d73ae77-c613-4c59-a80b-68a544a9d31f,a5e74fdb-4543-40c8-a828-a7cd83c1603c,2025-10-08,210846.23,EQUIPMENT,APPROVED,360,2025-10-08 02:39:00
08efe666-9a64-4f12-909d-85c453502e94,098bcd5b-0d2f-45d3-8126-8d81f454f4da,2025-10-06,231281.25,EQUIPMENT,PENDING,583,2025-10-08 02:34:00
08efe666-9a64-4f12-909d-85c453502e94,098bcd5b-0d2f-45d3-8126-8d81f454f4da,2025-10-06,231281.25,EQUIPMENT,PENDING,583,2025-10-08 02:34:00
c1372bfa-d32a-40be-8b77-fc082d43690e,c082bdbf-48d4-4795-9b61-489ff67c5522,2025-10-07,42000.72,PAYROLL,APPROVED,561,2025-10-08 02:55:00
41da37fb-3e2d-47fc-9606-7a8dc1df6575,4fd48356-4141-4dd0-b8f8-32c03ae18102,2025-10-08,248004.67,EXPANSION,REJECTED,447,2025-10-08 02:11:00
41da37fb-3e2d-47fc-9606-7a8dc1df6575,4fd48356-4141-4dd0-b8f8-32c03ae18102,2025-10-08,248004.67,EXPANSION,REJECTED,447,2025-10-08 02:11:00
dbb5870e-2ac5-48db-89a5-87f1f7c32898,ee484148-eea5-46f5-b5d2-4d3a99c3363c,2025-10-08,47235.88,PAYROLL,PENDING,846,2025-10-08 02:53:00
1dd1eb39-6c10-41af-8860-bb2671b89791,4db11eda-8a51-4e61-9c3d-d49554a4306b,2025-10-06,110747.18,EQUIPMENT,APPROVED,520,2025-10-08 02:03:00
1dd1eb39-6c10-41af-8860-bb2671b89791,4db11eda-8a51-4e61-9c3d-d49554a4306b,2025-10-06,110747.18,EQUIPMENT,APPROVED,520,2025-10-08 02:03:00
a8d301b3-99fc-4573-91aa-40d8e398b113,fef52cda-abe6-465d-978f-fe4eb71cf22a,2025-10-06,164935.44,INVENTORY,PENDING,455,2025-10-08 02:49:00
383d64f5-ab85-4dab-a3c2-8adadbaa5666,0e4c7fd8-4c3e-42f0-9011-765255de0990,2025-10-08,100776.31,PAYROLL,REJECTED,438,2025-10-08 02:04:00
2d6226f1-a4ae-4537-baf4-76405ec39b58,9aa1c87c-8db2-4a9d-985b-a91e823478ad,2025-10-06,12638.43,EXPANSION,APPROVED,787,2025-10-08 02:38:00
4ba108fa-d25e-4e02-91ef-3ea13651cb3b,f31d7583-c53d-445b-b26d-d5f472b897b9,2025-10-08,86716.90,EQUIPMENT,APPROVED,312,2025-10-08 02:01:00
fb13eb65-7e45-4ef0-97ab-1957f895e07e,0356f28d-6c73-42ff-8a4a-ba914e0c464e,2025-10-08,165315.38,WORKING_CAPITAL,PENDING,395,2025-10-08 02:06:00
16b6f6d2-de11-4a74-9eeb-d27e5ffc2fda,c2fdb3f4-701b-4a08-869c-84174fb61288,2025-10-06,129782.44,WORKING_CAPITAL,REJECTED,699,2025-10-08 02:31:00
a8629d6a-5a27-4d8a-94e6-de6240881574,f298a6e2-9d19-485e-9105-8428569aa9d8,2025-10-07,82472.27,EQUIPMENT,REJECTED,586,2025-10-08 02:47:00
498a4c52-d389-46cf-b183-e2cce7659bf1,c9059894-6149-4850-9c49-c0b51175a4f9,2025-10-08,139053.62,INVENTORY,REJECTED,370,2025-10-08 02:30:00
